series,ts,value,max,twd,gro_yr
92232414,2023-07-31T23:00:00Z,887,912,25,912
92232414,2023-07-31T23:15:00Z,887,912,25,912
92232414,2023-07-31T23:30:00Z,887,912,25,912
92232414,2023-07-31T23:45:00Z,887,912,25,912
92232414,2023-08-01T00:00:00Z,887,912,25,912
92232414,2023-08-01T00:15:00Z,888,912,24,912
92232414,2023-08-01T00:30:00Z,888,912,24,912
92232414,2023-08-01T00:45:00Z,888,912,24,912
92232414,2023-08-01T01:00:00Z,888,912,24,912
92232414,2023-08-01T01:15:00Z,888,912,24,912
92232414,2023-08-01T01:30:00Z,888,912,24,912
92232414,2023-08-01T01:45:00Z,888,912,24,912
92232414,2023-08-01T02:00:00Z,888,912,24,912
92232414,2023-08-01T02:15:00Z,888,912,24,912
92232414,2023-08-01T02:30:00Z,888,912,24,912
92232414,2023-08-01T02:45:00Z,888,912,24,912
92232414,2023-08-01T03:00:00Z,888,912,24,912
92232414,2023-08-01T03:15:00Z,888,912,24,912
92232414,2023-08-01T03:30:00Z,888,912,24,912
92232414,2023-08-01T03:45:00Z,888,912,24,912
92232414,2023-08-01T04:00:00Z,888,912,24,912
92232414,2023-08-01T04:15:00Z,888,912,24,912
92232414,2023-08-01T04:30:00Z,888,912,24,912
92232414,2023-08-01T04:45:00Z,888,912,24,912
92232414,2023-08-01T05:00:00Z,888,912,24,912
92232414,2023-08-01T05:15:00Z,888,912,24,912
92232414,2023-08-01T05:30:00Z,888,912,24,912
92232414,2023-08-01T05:45:00Z,888,912,24,912
92232414,2023-08-01T06:00:00Z,888,912,24,912
92232414,2023-08-01T06:15:00Z,888,912,24,912
92232414,2023-08-01T06:30:00Z,888,912,24,912
92232414,2023-08-01T06:45:00Z,888,912,24,912
92232414,2023-08-01T07:00:00Z,888,912,24,912
92232414,2023-08-01T07:15:00Z,888,912,24,912
92232414,2023-08-01T07:30:00Z,888,912,24,912
92232414,2023-08-01T07:45:00Z,888,912,24,912
92232414,2023-08-01T08:00:00Z,888,912,24,912
92232414,2023-08-01T08:15:00Z,888,912,24,912
92232414,2023-08-01T08:30:00Z,888,912,24,912
92232414,2023-08-01T08:45:00Z,888,912,24,912
92232414,2023-08-01T09:00:00Z,888,912,24,912
92232414,2023-08-01T09:15:00Z,888,912,24,912
92232414,2023-08-01T09:30:00Z,888,912,24,912
92232414,2023-08-01T09:45:00Z,888,912,24,912
92232414,2023-08-01T10:00:00Z,888,912,24,912
92232414,2023-08-01T10:15:00Z,888,912,24,912
92232414,2023-08-01T10:30:00Z,887,912,25,912
92232414,2023-08-01T10:45:00Z,887,912,25,912
92232414,2023-08-01T11:00:00Z,887,912,25,912
92232414,2023-08-01T11:15:00Z,887,912,25,912
92232414,2023-08-01T11:30:00Z,887,912,25,912
92232414,2023-08-01T11:45:00Z,887,912,25,912
92232414,2023-08-01T12:00:00Z,887,912,25,912
92232414,2023-08-01T12:15:00Z,887,912,25,912
92232414,2023-08-01T12:30:00Z,887,912,25,912
92232414,2023-08-01T12:45:00Z,887,912,25,912
92232414,2023-08-01T13:00:00Z,887,912,25,912
92232414,2023-08-01T13:15:00Z,887,912,25,912
92232414,2023-08-01T13:30:00Z,887,912,25,912
92232414,2023-08-01T13:45:00Z,887,912,25,912
92232414,2023-08-01T14:00:00Z,887,912,25,912
92232414,2023-08-01T14:15:00Z,887,912,25,912
92232414,2023-08-01T14:30:00Z,887,912,25,912
92232414,2023-08-01T14:45:00Z,887,912,25,912
92232414,2023-08-01T15:00:00Z,887,912,25,912
92232414,2023-08-01T15:15:00Z,887,912,25,912
92232414,2023-08-01T15:30:00Z,887,912,25,912
92232414,2023-08-01T15:45:00Z,887,912,25,912
92232414,2023-08-01T16:00:00Z,887,912,25,912
92232414,2023-08-01T16:15:00Z,887,912,25,912
92232414,2023-08-01T16:30:00Z,887,912,25,912
92232414,2023-08-01T16:45:00Z,887,912,25,912
92232414,2023-08-01T17:00:00Z,887,912,25,912
92232414,2023-08-01T17:15:00Z,887,912,25,912
92232414,2023-08-01T17:30:00Z,887,912,25,912
92232414,2023-08-01T17:45:00Z,887,912,25,912
92232414,2023-08-01T18:00:00Z,887,912,25,912
92232414,2023-08-01T18:15:00Z,887,912,25,912
92232414,2023-08-01T18:30:00Z,887,912,25,912
92232414,2023-08-01T18:45:00Z,887,912,25,912
92232414,2023-08-01T19:00:00Z,887,912,25,912
92232414,2023-08-01T19:15:00Z,887,912,25,912
92232414,2023-08-01T19:30:00Z,887,912,25,912
92232414,2023-08-01T19:45:00Z,887,912,25,912
92232414,2023-08-01T20:00:00Z,887,912,25,912
92232414,2023-08-01T20:15:00Z,887,912,25,912
92232414,2023-08-01T20:30:00Z,887,912,25,912
92232414,2023-08-01T20:45:00Z,887,912,25,912
92232414,2023-08-01T21:00:00Z,887,912,25,912
92232414,2023-08-01T21:15:00Z,887,912,25,912
92232414,2023-08-01T21:30:00Z,887,912,25,912
92232414,2023-08-01T21:45:00Z,887,912,25,912
92232414,2023-08-01T22:00:00Z,887,912,25,912
92232414,2023-08-01T22:15:00Z,887,912,25,912
92232414,2023-08-01T22:30:00Z,887,912,25,912
92232414,2023-08-01T22:45:00Z,887,912,25,912
92232414,2023-08-01T23:00:00Z,887,912,25,912
92232414,2023-08-01T23:15:00Z,887,912,25,912
92232414,2023-08-01T23:30:00Z,888,912,24,912
92232414,2023-08-01T23:45:00Z,887,912,25,912
92232414,2023-08-02T00:00:00Z,887,912,25,912
92232414,2023-08-02T00:15:00Z,887,912,25,912
92232414,2023-08-02T00:30:00Z,887,912,25,912
92232414,2023-08-02T00:45:00Z,887,912,25,912
92232414,2023-08-02T01:00:00Z,887,912,25,912
92232414,2023-08-02T01:15:00Z,887,912,25,912
92232414,2023-08-02T01:30:00Z,887,912,25,912
92232414,2023-08-02T01:45:00Z,888,912,24,912
92232414,2023-08-02T02:00:00Z,888,912,24,912
92232414,2023-08-02T02:15:00Z,888,912,24,912
92232414,2023-08-02T02:30:00Z,888,912,24,912
92232414,2023-08-02T02:45:00Z,887,912,25,912
92232414,2023-08-02T03:00:00Z,888,912,24,912
92232414,2023-08-02T03:15:00Z,888,912,24,912
92232414,2023-08-02T03:30:00Z,888,912,24,912
92232414,2023-08-02T03:45:00Z,888,912,24,912
92232414,2023-08-02T04:00:00Z,888,912,24,912
92232414,2023-08-02T04:15:00Z,888,912,24,912
92232414,2023-08-02T04:30:00Z,888,912,24,912
92232414,2023-08-02T04:45:00Z,888,912,24,912
92232414,2023-08-02T05:00:00Z,888,912,24,912
92232414,2023-08-02T05:15:00Z,888,912,24,912
92232414,2023-08-02T05:30:00Z,888,912,24,912
92232414,2023-08-02T05:45:00Z,888,912,24,912
92232414,2023-08-02T06:00:00Z,888,912,24,912
92232414,2023-08-02T06:15:00Z,888,912,24,912
92232414,2023-08-02T06:30:00Z,888,912,24,912
92232414,2023-08-02T06:45:00Z,888,912,24,912
92232414,2023-08-02T07:00:00Z,888,912,24,912
92232414,2023-08-02T07:15:00Z,887,912,25,912
92232414,2023-08-02T07:30:00Z,887,912,25,912
92232414,2023-08-02T07:45:00Z,887,912,25,912
92232414,2023-08-02T08:00:00Z,887,912,25,912
92232414,2023-08-02T08:15:00Z,887,912,25,912
92232414,2023-08-02T08:30:00Z,887,912,25,912
92232414,2023-08-02T08:45:00Z,887,912,25,912
92232414,2023-08-02T09:00:00Z,887,912,25,912
92232414,2023-08-02T09:15:00Z,887,912,25,912
92232414,2023-08-02T09:30:00Z,887,912,25,912
92232414,2023-08-02T09:45:00Z,887,912,25,912
92232414,2023-08-02T10:00:00Z,887,912,25,912
92232414,2023-08-02T10:15:00Z,886,912,26,912
92232414,2023-08-02T10:30:00Z,884,912,28,912
92232414,2023-08-02T10:45:00Z,885,912,27,912
92232414,2023-08-02T11:00:00Z,884,912,28,912
92232414,2023-08-02T11:15:00Z,884,912,28,912
92232414,2023-08-02T11:30:00Z,884,912,28,912
92232414,2023-08-02T11:45:00Z,883,912,29,912
92232414,2023-08-02T12:00:00Z,883,912,29,912
92232414,2023-08-02T12:15:00Z,883,912,29,912
92232414,2023-08-02T12:30:00Z,883,912,29,912
92232414,2023-08-02T12:45:00Z,882,912,30,912
92232414,2023-08-02T13:00:00Z,882,912,30,912
92232414,2023-08-02T13:15:00Z,882,912,30,912
92232414,2023-08-02T13:30:00Z,882,912,30,912
92232414,2023-08-02T13:45:00Z,882,912,30,912
92232414,2023-08-02T14:00:00Z,882,912,30,912
92232414,2023-08-02T14:15:00Z,882,912,30,912
92232414,2023-08-02T14:30:00Z,882,912,30,912
92232414,2023-08-02T14:45:00Z,882,912,30,912
92232414,2023-08-02T15:00:00Z,882,912,30,912
92232414,2023-08-02T15:15:00Z,882,912,30,912
92232414,2023-08-02T15:30:00Z,882,912,30,912
92232414,2023-08-02T15:45:00Z,882,912,30,912
92232414,2023-08-02T16:00:00Z,882,912,30,912
92232414,2023-08-02T16:15:00Z,882,912,30,912
92232414,2023-08-02T16:30:00Z,882,912,30,912
92232414,2023-08-02T16:45:00Z,882,912,30,912
92232414,2023-08-02T17:00:00Z,882,912,30,912
92232414,2023-08-02T17:15:00Z,882,912,30,912
92232414,2023-08-02T17:30:00Z,882,912,30,912
92232414,2023-08-02T17:45:00Z,882,912,30,912
92232414,2023-08-02T18:00:00Z,882,912,30,912
92232414,2023-08-02T18:15:00Z,882,912,30,912
92232414,2023-08-02T18:30:00Z,882,912,30,912
92232414,2023-08-02T18:45:00Z,882,912,30,912
92232414,2023-08-02T19:00:00Z,882,912,30,912
92232414,2023-08-02T19:15:00Z,882,912,30,912
92232414,2023-08-02T19:30:00Z,882,912,30,912
92232414,2023-08-02T19:45:00Z,882,912,30,912
92232414,2023-08-02T20:00:00Z,882,912,30,912
92232414,2023-08-02T20:15:00Z,882,912,30,912
92232414,2023-08-02T20:30:00Z,883,912,29,912
92232414,2023-08-02T20:45:00Z,882,912,30,912
92232414,2023-08-02T21:00:00Z,883,912,29,912
92232414,2023-08-02T21:15:00Z,883,912,29,912
92232414,2023-08-02T21:30:00Z,883,912,29,912
92232414,2023-08-02T21:45:00Z,883,912,29,912
92232414,2023-08-02T22:00:00Z,883,912,29,912
92232414,2023-08-02T22:15:00Z,883,912,29,912
92232414,2023-08-02T22:30:00Z,883,912,29,912
92232414,2023-08-02T22:45:00Z,884,912,28,912
92232414,2023-08-02T23:00:00Z,884,912,28,912
92232414,2023-08-02T23:15:00Z,884,912,28,912
92232414,2023-08-02T23:30:00Z,884,912,28,912
92232414,2023-08-02T23:45:00Z,884,912,28,912
92232414,2023-08-03T00:00:00Z,885,912,27,912
92232414,2023-08-03T00:15:00Z,885,912,27,912
92232414,2023-08-03T00:30:00Z,885,912,27,912
92232414,2023-08-03T00:45:00Z,885,912,27,912
92232414,2023-08-03T01:00:00Z,885,912,27,912
92232414,2023-08-03T01:15:00Z,885,912,27,912
92232414,2023-08-03T01:30:00Z,886,912,26,912
92232414,2023-08-03T01:45:00Z,886,912,26,912
92232414,2023-08-03T02:00:00Z,886,912,26,912
92232414,2023-08-03T02:15:00Z,887,912,25,912
92232414,2023-08-03T02:30:00Z,887,912,25,912
92232414,2023-08-03T02:45:00Z,887,912,25,912
92232414,2023-08-03T03:00:00Z,887,912,25,912
92232414,2023-08-03T03:15:00Z,887,912,25,912
92232414,2023-08-03T03:30:00Z,887,912,25,912
92232414,2023-08-03T03:45:00Z,887,912,25,912
92232414,2023-08-03T04:00:00Z,888,912,24,912
92232414,2023-08-03T04:15:00Z,889,912,23,912
92232414,2023-08-03T04:30:00Z,889,912,23,912
92232414,2023-08-03T04:45:00Z,889,912,23,912
92232414,2023-08-03T05:00:00Z,889,912,23,912
92232414,2023-08-03T05:15:00Z,889,912,23,912
92232414,2023-08-03T05:30:00Z,889,912,23,912
92232414,2023-08-03T05:45:00Z,889,912,23,912
92232414,2023-08-03T06:00:00Z,889,912,23,912
92232414,2023-08-03T06:15:00Z,888,912,24,912
92232414,2023-08-03T06:30:00Z,888,912,24,912
92232414,2023-08-03T06:45:00Z,888,912,24,912
92232414,2023-08-03T07:00:00Z,888,912,24,912
92232414,2023-08-03T07:15:00Z,888,912,24,912
92232414,2023-08-03T07:30:00Z,888,912,24,912
92232414,2023-08-03T07:45:00Z,888,912,24,912
92232414,2023-08-03T08:00:00Z,888,912,24,912
92232414,2023-08-03T08:15:00Z,888,912,24,912
92232414,2023-08-03T08:30:00Z,888,912,24,912
92232414,2023-08-03T08:45:00Z,888,912,24,912
92232414,2023-08-03T09:00:00Z,888,912,24,912
92232414,2023-08-03T09:15:00Z,888,912,24,912
92232414,2023-08-03T09:30:00Z,888,912,24,912
92232414,2023-08-03T09:45:00Z,888,912,24,912
92232414,2023-08-03T10:00:00Z,888,912,24,912
92232414,2023-08-03T10:15:00Z,888,912,24,912
92232414,2023-08-03T10:30:00Z,888,912,24,912
92232414,2023-08-03T10:45:00Z,888,912,24,912
92232414,2023-08-03T11:00:00Z,888,912,24,912
92232414,2023-08-03T11:15:00Z,888,912,24,912
92232414,2023-08-03T11:30:00Z,888,912,24,912
92232414,2023-08-03T11:45:00Z,888,912,24,912
92232414,2023-08-03T12:00:00Z,887,912,25,912
92232414,2023-08-03T12:15:00Z,887,912,25,912
92232414,2023-08-03T12:30:00Z,887,912,25,912
92232414,2023-08-03T12:45:00Z,887,912,25,912
92232414,2023-08-03T13:00:00Z,887,912,25,912
92232414,2023-08-03T13:15:00Z,887,912,25,912
92232414,2023-08-03T13:30:00Z,887,912,25,912
92232414,2023-08-03T13:45:00Z,887,912,25,912
92232414,2023-08-03T14:00:00Z,887,912,25,912
92232414,2023-08-03T14:15:00Z,887,912,25,912
92232414,2023-08-03T14:30:00Z,887,912,25,912
92232414,2023-08-03T14:45:00Z,887,912,25,912
92232414,2023-08-03T15:00:00Z,887,912,25,912
92232414,2023-08-03T15:15:00Z,887,912,25,912
92232414,2023-08-03T15:30:00Z,887,912,25,912
92232414,2023-08-03T15:45:00Z,887,912,25,912
92232414,2023-08-03T16:00:00Z,887,912,25,912
92232414,2023-08-03T16:15:00Z,887,912,25,912
92232414,2023-08-03T16:30:00Z,887,912,25,912
92232414,2023-08-03T16:45:00Z,887,912,25,912
92232414,2023-08-03T17:00:00Z,887,912,25,912
92232414,2023-08-03T17:15:00Z,887,912,25,912
92232414,2023-08-03T17:30:00Z,888,912,24,912
92232414,2023-08-03T17:45:00Z,888,912,24,912
92232414,2023-08-03T18:00:00Z,888,912,24,912
92232414,2023-08-03T18:15:00Z,888,912,24,912
92232414,2023-08-03T18:30:00Z,888,912,24,912
92232414,2023-08-03T18:45:00Z,888,912,24,912
92232414,2023-08-03T19:00:00Z,888,912,24,912
92232414,2023-08-03T19:15:00Z,888,912,24,912
92232414,2023-08-03T19:30:00Z,888,912,24,912
92232414,2023-08-03T19:45:00Z,888,912,24,912
92232414,2023-08-03T20:00:00Z,888,912,24,912
92232414,2023-08-03T20:15:00Z,888,912,24,912
92232414,2023-08-03T20:30:00Z,888,912,24,912
92232414,2023-08-03T20:45:00Z,888,912,24,912
92232414,2023-08-03T21:00:00Z,888,912,24,912
92232414,2023-08-03T21:15:00Z,888,912,24,912
92232414,2023-08-03T21:30:00Z,889,912,23,912
92232414,2023-08-03T21:45:00Z,889,912,23,912
92232414,2023-08-03T22:00:00Z,889.5,912,22.5,912
92232414,2023-08-03T22:15:00Z,890,912,22,912
92232414,2023-08-03T22:30:00Z,890,912,22,912
92232414,2023-08-03T22:45:00Z,890,912,22,912
92232414,2023-08-03T23:00:00Z,891,912,21,912
92232414,2023-08-03T23:15:00Z,891,912,21,912
92232414,2023-08-03T23:30:00Z,891,912,21,912
92232414,2023-08-03T23:45:00Z,891,912,21,912
92232414,2023-08-04T00:00:00Z,891,912,21,912
92232414,2023-08-04T00:15:00Z,891,912,21,912
92232414,2023-08-04T00:30:00Z,892,912,20,912
92232414,2023-08-04T00:45:00Z,892,912,20,912
92232414,2023-08-04T01:00:00Z,892,912,20,912
92232414,2023-08-04T01:15:00Z,893,912,19,912
92232414,2023-08-04T01:30:00Z,893,912,19,912
92232414,2023-08-04T01:45:00Z,894,912,18,912
92232414,2023-08-04T02:00:00Z,895,912,17,912
92232414,2023-08-04T02:15:00Z,895,912,17,912
92232414,2023-08-04T02:30:00Z,897,912,15,912
92232414,2023-08-04T02:45:00Z,897,912,15,912
92232414,2023-08-04T03:00:00Z,897,912,15,912
92232414,2023-08-04T03:15:00Z,898,912,14,912
92232414,2023-08-04T03:30:00Z,899,912,13,912
92232414,2023-08-04T03:45:00Z,900,912,12,912
92232414,2023-08-04T04:00:00Z,899,912,13,912
92232414,2023-08-04T04:15:00Z,899,912,13,912
92232414,2023-08-04T04:30:00Z,900,912,12,912
92232414,2023-08-04T04:45:00Z,900,912,12,912
92232414,2023-08-04T05:00:00Z,900,912,12,912
92232414,2023-08-04T05:15:00Z,899,912,13,912
92232414,2023-08-04T05:30:00Z,899,912,13,912
92232414,2023-08-04T05:45:00Z,899,912,13,912
92232414,2023-08-04T06:00:00Z,899,912,13,912
92232414,2023-08-04T06:15:00Z,899,912,13,912
92232414,2023-08-04T06:30:00Z,899,912,13,912
92232414,2023-08-04T06:45:00Z,899,912,13,912
92232414,2023-08-04T07:00:00Z,899,912,13,912
92232414,2023-08-04T07:15:00Z,899,912,13,912
92232414,2023-08-04T07:30:00Z,899,912,13,912
92232414,2023-08-04T07:45:00Z,899,912,13,912
92232414,2023-08-04T08:00:00Z,899,912,13,912
92232414,2023-08-04T08:15:00Z,899,912,13,912
92232414,2023-08-04T08:30:00Z,899,912,13,912
92232414,2023-08-04T08:45:00Z,899,912,13,912
92232414,2023-08-04T09:00:00Z,899,912,13,912
92232414,2023-08-04T09:15:00Z,899,912,13,912
92232414,2023-08-04T09:30:00Z,899,912,13,912
92232414,2023-08-04T09:45:00Z,899,912,13,912
92232414,2023-08-04T10:00:00Z,899,912,13,912
92232414,2023-08-04T10:15:00Z,899,912,13,912
92232414,2023-08-04T10:30:00Z,899,912,13,912
92232414,2023-08-04T10:45:00Z,899,912,13,912
92232414,2023-08-04T11:00:00Z,899,912,13,912
92232414,2023-08-04T11:15:00Z,899,912,13,912
92232414,2023-08-04T11:30:00Z,899,912,13,912
92232414,2023-08-04T11:45:00Z,899,912,13,912
92232414,2023-08-04T12:00:00Z,899,912,13,912
92232414,2023-08-04T12:15:00Z,899,912,13,912
92232414,2023-08-04T12:30:00Z,899,912,13,912
92232414,2023-08-04T12:45:00Z,899,912,13,912
92232414,2023-08-04T13:00:00Z,899,912,13,912
92232414,2023-08-04T13:15:00Z,899,912,13,912
92232414,2023-08-04T13:30:00Z,899,912,13,912
92232414,2023-08-04T13:45:00Z,899,912,13,912
92232414,2023-08-04T14:00:00Z,899,912,13,912
92232414,2023-08-04T14:15:00Z,899,912,13,912
92232414,2023-08-04T14:30:00Z,899,912,13,912
92232414,2023-08-04T14:45:00Z,899,912,13,912
92232414,2023-08-04T15:00:00Z,899,912,13,912
92232414,2023-08-04T15:15:00Z,899,912,13,912
92232414,2023-08-04T15:30:00Z,899,912,13,912
92232414,2023-08-04T15:45:00Z,899,912,13,912
92232414,2023-08-04T16:00:00Z,899,912,13,912
92232414,2023-08-04T16:15:00Z,899,912,13,912
92232414,2023-08-04T16:30:00Z,899,912,13,912
92232414,2023-08-04T16:45:00Z,899,912,13,912
92232414,2023-08-04T17:00:00Z,899,912,13,912
92232414,2023-08-04T17:15:00Z,899,912,13,912
92232414,2023-08-04T17:30:00Z,899,912,13,912
92232414,2023-08-04T17:45:00Z,899,912,13,912
92232414,2023-08-04T18:00:00Z,899,912,13,912
92232414,2023-08-04T18:15:00Z,899,912,13,912
92232414,2023-08-04T18:30:00Z,899,912,13,912
92232414,2023-08-04T18:45:00Z,899,912,13,912
92232414,2023-08-04T19:00:00Z,899,912,13,912
92232414,2023-08-04T19:15:00Z,899,912,13,912
92232414,2023-08-04T19:30:00Z,899,912,13,912
92232414,2023-08-04T19:45:00Z,899,912,13,912
92232414,2023-08-04T20:00:00Z,899,912,13,912
92232414,2023-08-04T20:15:00Z,899,912,13,912
92232414,2023-08-04T20:30:00Z,899,912,13,912
92232414,2023-08-04T20:45:00Z,899,912,13,912
92232414,2023-08-04T21:00:00Z,899,912,13,912
92232414,2023-08-04T21:15:00Z,899,912,13,912
92232414,2023-08-04T21:30:00Z,899,912,13,912
92232414,2023-08-04T21:45:00Z,899,912,13,912
92232414,2023-08-04T22:00:00Z,899,912,13,912
92232414,2023-08-04T22:15:00Z,899,912,13,912
92232414,2023-08-04T22:30:00Z,899,912,13,912
92232414,2023-08-04T22:45:00Z,900,912,12,912
92232414,2023-08-04T23:00:00Z,900,912,12,912
92232414,2023-08-04T23:15:00Z,900,912,12,912
92232414,2023-08-04T23:30:00Z,900,912,12,912
92232414,2023-08-04T23:45:00Z,900,912,12,912
92232414,2023-08-05T00:00:00Z,900,912,12,912
92232414,2023-08-05T00:15:00Z,900,912,12,912
92232414,2023-08-05T00:30:00Z,900,912,12,912
92232414,2023-08-05T00:45:00Z,900,912,12,912
92232414,2023-08-05T01:00:00Z,900,912,12,912
92232414,2023-08-05T01:15:00Z,900,912,12,912
92232414,2023-08-05T01:30:00Z,900,912,12,912
92232414,2023-08-05T01:45:00Z,901,912,11,912
92232414,2023-08-05T02:00:00Z,901,912,11,912
92232414,2023-08-05T02:15:00Z,901,912,11,912
92232414,2023-08-05T02:30:00Z,901,912,11,912
92232414,2023-08-05T02:45:00Z,901,912,11,912
92232414,2023-08-05T03:00:00Z,901,912,11,912
92232414,2023-08-05T03:15:00Z,901,912,11,912
92232414,2023-08-05T03:30:00Z,901,912,11,912
92232414,2023-08-05T03:45:00Z,901,912,11,912
92232414,2023-08-05T04:00:00Z,901,912,11,912
92232414,2023-08-05T04:15:00Z,901,912,11,912
92232414,2023-08-05T04:30:00Z,901,912,11,912
92232414,2023-08-05T04:45:00Z,901,912,11,912
92232414,2023-08-05T05:00:00Z,901,912,11,912
92232414,2023-08-05T05:15:00Z,901,912,11,912
92232414,2023-08-05T05:30:00Z,901,912,11,912
92232414,2023-08-05T05:45:00Z,901,912,11,912
92232414,2023-08-05T06:00:00Z,901,912,11,912
92232414,2023-08-05T06:15:00Z,901,912,11,912
92232414,2023-08-05T06:30:00Z,901,912,11,912
92232414,2023-08-05T06:45:00Z,901,912,11,912
92232414,2023-08-05T07:00:00Z,901,912,11,912
92232414,2023-08-05T07:15:00Z,901,912,11,912
92232414,2023-08-05T07:30:00Z,900,912,12,912
92232414,2023-08-05T07:45:00Z,900,912,12,912
92232414,2023-08-05T08:00:00Z,900,912,12,912
92232414,2023-08-05T08:15:00Z,900,912,12,912
92232414,2023-08-05T08:30:00Z,900,912,12,912
92232414,2023-08-05T08:45:00Z,900,912,12,912
92232414,2023-08-05T09:00:00Z,900,912,12,912
92232414,2023-08-05T09:15:00Z,899,912,13,912
92232414,2023-08-05T09:30:00Z,898,912,14,912
92232414,2023-08-05T09:45:00Z,898,912,14,912
92232414,2023-08-05T10:00:00Z,898,912,14,912
92232414,2023-08-05T10:15:00Z,897,912,15,912
92232414,2023-08-05T10:30:00Z,897,912,15,912
92232414,2023-08-05T10:45:00Z,896,912,16,912
92232414,2023-08-05T11:00:00Z,896,912,16,912
92232414,2023-08-05T11:15:00Z,896,912,16,912
92232414,2023-08-05T11:30:00Z,896,912,16,912
92232414,2023-08-05T11:45:00Z,893,912,19,912
92232414,2023-08-05T12:00:00Z,894,912,18,912
92232414,2023-08-05T12:15:00Z,894,912,18,912
92232414,2023-08-05T12:30:00Z,893,912,19,912
92232414,2023-08-05T12:45:00Z,893,912,19,912
92232414,2023-08-05T13:00:00Z,893,912,19,912
92232414,2023-08-05T13:15:00Z,893,912,19,912
92232414,2023-08-05T13:30:00Z,893,912,19,912
92232414,2023-08-05T13:45:00Z,893,912,19,912
92232414,2023-08-05T14:00:00Z,893,912,19,912
92232414,2023-08-05T14:15:00Z,893,912,19,912
92232414,2023-08-05T14:30:00Z,893,912,19,912
92232414,2023-08-05T14:45:00Z,893,912,19,912
92232414,2023-08-05T15:00:00Z,893,912,19,912
92232414,2023-08-05T15:15:00Z,893,912,19,912
92232414,2023-08-05T15:30:00Z,893,912,19,912
92232414,2023-08-05T15:45:00Z,893,912,19,912
92232414,2023-08-05T16:00:00Z,893,912,19,912
92232414,2023-08-05T16:15:00Z,893,912,19,912
92232414,2023-08-05T16:30:00Z,893,912,19,912
92232414,2023-08-05T16:45:00Z,893,912,19,912
92232414,2023-08-05T17:00:00Z,893,912,19,912
92232414,2023-08-05T17:15:00Z,893,912,19,912
92232414,2023-08-05T17:30:00Z,893,912,19,912
92232414,2023-08-05T17:45:00Z,893,912,19,912
92232414,2023-08-05T18:00:00Z,893,912,19,912
92232414,2023-08-05T18:15:00Z,893,912,19,912
92232414,2023-08-05T18:30:00Z,893,912,19,912
92232414,2023-08-05T18:45:00Z,893,912,19,912
92232414,2023-08-05T19:00:00Z,893,912,19,912
92232414,2023-08-05T19:15:00Z,893,912,19,912
92232414,2023-08-05T19:30:00Z,893,912,19,912
92232414,2023-08-05T19:45:00Z,893,912,19,912
92232414,2023-08-05T20:00:00Z,893,912,19,912
92232414,2023-08-05T20:15:00Z,893,912,19,912
92232414,2023-08-05T20:30:00Z,893,912,19,912
92232414,2023-08-05T20:45:00Z,893,912,19,912
92232414,2023-08-05T21:00:00Z,893,912,19,912
92232414,2023-08-05T21:15:00Z,893,912,19,912
92232414,2023-08-05T21:30:00Z,893,912,19,912
92232414,2023-08-05T21:45:00Z,893,912,19,912
92232414,2023-08-05T22:00:00Z,893,912,19,912
92232414,2023-08-05T22:15:00Z,893,912,19,912
92232414,2023-08-05T22:30:00Z,894,912,18,912
92232414,2023-08-05T22:45:00Z,894,912,18,912
92232414,2023-08-05T23:00:00Z,894,912,18,912
92232414,2023-08-05T23:15:00Z,894,912,18,912
92232414,2023-08-05T23:30:00Z,894,912,18,912
92232414,2023-08-05T23:45:00Z,894,912,18,912
92232414,2023-08-06T00:00:00Z,894,912,18,912
92232414,2023-08-06T00:15:00Z,894,912,18,912
92232414,2023-08-06T00:30:00Z,894,912,18,912
92232414,2023-08-06T00:45:00Z,894,912,18,912
92232414,2023-08-06T01:00:00Z,894,912,18,912
92232414,2023-08-06T01:15:00Z,894,912,18,912
92232414,2023-08-06T01:30:00Z,894,912,18,912
92232414,2023-08-06T01:45:00Z,894,912,18,912
92232414,2023-08-06T02:00:00Z,894,912,18,912
92232414,2023-08-06T02:15:00Z,894,912,18,912
92232414,2023-08-06T02:30:00Z,894,912,18,912
92232414,2023-08-06T02:45:00Z,894,912,18,912
92232414,2023-08-06T03:00:00Z,895,912,17,912
92232414,2023-08-06T03:15:00Z,895,912,17,912
92232414,2023-08-06T03:30:00Z,895,912,17,912
92232414,2023-08-06T03:45:00Z,895,912,17,912
92232414,2023-08-06T04:00:00Z,895,912,17,912
92232414,2023-08-06T04:15:00Z,895,912,17,912
92232414,2023-08-06T04:30:00Z,895,912,17,912
92232414,2023-08-06T04:45:00Z,895,912,17,912
92232414,2023-08-06T05:00:00Z,895,912,17,912
92232414,2023-08-06T05:15:00Z,895,912,17,912
92232414,2023-08-06T05:30:00Z,895,912,17,912
92232414,2023-08-06T05:45:00Z,895,912,17,912
92232414,2023-08-06T06:00:00Z,895,912,17,912
92232414,2023-08-06T06:15:00Z,895,912,17,912
92232414,2023-08-06T06:30:00Z,895,912,17,912
92232414,2023-08-06T06:45:00Z,895,912,17,912
92232414,2023-08-06T07:00:00Z,895,912,17,912
92232414,2023-08-06T07:15:00Z,894,912,18,912
92232414,2023-08-06T07:30:00Z,894,912,18,912
92232414,2023-08-06T07:45:00Z,894,912,18,912
92232414,2023-08-06T08:00:00Z,894,912,18,912
